"State","Date","Latitude","Longitude","Pollutant","Unit","Mean"
"Alabama","2021-01",30.497478,-87.880258,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.36666666666667
"Alabama","2021-01",30.770181,-88.087761,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.77777777777778
"Alabama","2021-01",32.362606,-88.277992,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",4.63256035483871
"Alabama","2021-01",32.412811,-86.263394,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.85384615384615
"Alabama","2021-01",32.437028,-84.999653,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.99384059090909
"Alabama","2021-01",33.189931,-87.484189,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.81428571428571
"Alabama","2021-01",33.284928,-85.803608,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",5.77
"Alabama","2021-01",33.331111,-87.003611,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.46
"Alabama","2021-01",33.499722,-86.924167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.58666666666667
"Alabama","2021-01",33.521427,-86.844112,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.23636363636364
"Alabama","2021-01",33.545278,-86.549167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.94
"Alabama","2021-01",33.553056,-86.815,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.58016924657534
"Alabama","2021-01",33.991494,-85.992647,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.31
"Alabama","2021-01",34.288567,-85.969858,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.07
"Alabama","2021-01",34.530717,-86.967536,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.14560459722222
"Alabama","2021-01",34.68547,-86.58816,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.38666666666667
"Alabama","2021-02",30.497478,-87.880258,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.21111111111111
"Alabama","2021-02",30.770181,-88.087761,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.325
"Alabama","2021-02",32.362606,-88.277992,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.82612108928571
"Alabama","2021-02",32.412811,-86.263394,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.3
"Alabama","2021-02",32.437028,-84.999653,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.42085206896552
"Alabama","2021-02",33.189931,-87.484189,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.96
"Alabama","2021-02",33.284928,-85.803608,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",5.14444444444444
"Alabama","2021-02",33.331111,-87.003611,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.75
"Alabama","2021-02",33.499722,-86.924167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.27272727272727
"Alabama","2021-02",33.521427,-86.844112,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.21666666666667
"Alabama","2021-02",33.545278,-86.549167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.32857142857143
"Alabama","2021-02",33.553056,-86.815,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",12.099422015873
"Alabama","2021-02",33.991494,-85.992647,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.57142857142857
"Alabama","2021-02",34.288567,-85.969858,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.22857142857143
"Alabama","2021-02",34.530717,-86.967536,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",11.0756691451613
"Alabama","2021-02",34.68547,-86.58816,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.72857142857143
"Alabama","2021-03",30.497478,-87.880258,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.1625
"Alabama","2021-03",30.770181,-88.087761,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.33
"Alabama","2021-03",32.362606,-88.277992,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.70837020967742
"Alabama","2021-03",32.412811,-86.263394,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.69333333333333
"Alabama","2021-03",32.437028,-84.999653,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",15.5059918208955
"Alabama","2021-03",33.189931,-87.484189,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.52857142857143
"Alabama","2021-03",33.284928,-85.803608,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.875
"Alabama","2021-03",33.331111,-87.003611,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.76
"Alabama","2021-03",33.499722,-86.924167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.49333333333333
"Alabama","2021-03",33.521427,-86.844112,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",10.97
"Alabama","2021-03",33.545278,-86.549167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.09
"Alabama","2021-03",33.553056,-86.815,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",11.6531906428571
"Alabama","2021-03",33.991494,-85.992647,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.54
"Alabama","2021-03",34.288567,-85.969858,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.12
"Alabama","2021-03",34.530717,-86.967536,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.49494513888889
"Alabama","2021-03",34.68547,-86.58816,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.44285714285714
"Alabama","2021-04",30.497478,-87.880258,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.93
"Alabama","2021-04",30.770181,-88.087761,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.08
"Alabama","2021-04",32.362606,-88.277992,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.64899101666667
"Alabama","2021-04",32.412811,-86.263394,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.11333333333333
"Alabama","2021-04",32.437028,-84.999653,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",10.7036120615385
"Alabama","2021-04",33.189931,-87.484189,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.05333333333333
"Alabama","2021-04",33.284928,-85.803608,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.9625
"Alabama","2021-04",33.331111,-87.003611,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.12
"Alabama","2021-04",33.499722,-86.924167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.4
"Alabama","2021-04",33.521427,-86.844112,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",10.26
"Alabama","2021-04",33.545278,-86.549167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.84
"Alabama","2021-04",33.553056,-86.815,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",12.9617158285714
"Alabama","2021-04",33.991494,-85.992647,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.91
"Alabama","2021-04",34.288567,-85.969858,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.7625
"Alabama","2021-04",34.530717,-86.967536,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.48377945714286
"Alabama","2021-04",34.68547,-86.58816,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.6
"Alabama","2021-05",30.497478,-87.880258,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.73636363636364
"Alabama","2021-05",30.770181,-88.087761,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.21818181818182
"Alabama","2021-05",32.362606,-88.277992,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.60372679032258
"Alabama","2021-05",32.412811,-86.263394,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.36
"Alabama","2021-05",32.437028,-84.999653,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.52970471641791
"Alabama","2021-05",33.189931,-87.484189,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.39230769230769
"Alabama","2021-05",33.284928,-85.803608,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.85
"Alabama","2021-05",33.331111,-87.003611,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.48
"Alabama","2021-05",33.499722,-86.924167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.04
"Alabama","2021-05",33.521427,-86.844112,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.08
"Alabama","2021-05",33.545278,-86.549167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.94
"Alabama","2021-05",33.553056,-86.815,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",11.5649214225352
"Alabama","2021-05",33.991494,-85.992647,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.89090909090909
"Alabama","2021-05",34.288567,-85.969858,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.47272727272727
"Alabama","2021-05",34.530717,-86.967536,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.87192279452055
"Alabama","2021-05",34.68547,-86.58816,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.5125
"Alabama","2021-06",30.497478,-87.880258,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.85
"Alabama","2021-06",30.770181,-88.087761,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.47777777777778
"Alabama","2021-06",32.362606,-88.277992,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.42513956666667
"Alabama","2021-06",32.412811,-86.263394,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.12666666666667
"Alabama","2021-06",32.437028,-84.999653,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.22456523076923
"Alabama","2021-06",33.189931,-87.484189,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.18
"Alabama","2021-06",33.284928,-85.803608,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.975
"Alabama","2021-06",33.331111,-87.003611,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.88
"Alabama","2021-06",33.499722,-86.924167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.01875
"Alabama","2021-06",33.521427,-86.844112,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.72
"Alabama","2021-06",33.545278,-86.549167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.98
"Alabama","2021-06",33.553056,-86.815,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",10.5222246231884
"Alabama","2021-06",33.991494,-85.992647,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.425
"Alabama","2021-06",34.288567,-85.969858,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.24
"Alabama","2021-06",34.530717,-86.967536,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.94532372857143
"Alabama","2021-06",34.68547,-86.58816,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.26
"Alabama","2021-07",30.497478,-87.880258,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.36
"Alabama","2021-07",30.770181,-88.087761,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.21
"Alabama","2021-07",32.362606,-88.277992,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.09404520967742
"Alabama","2021-07",32.412811,-86.263394,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.28571428571429
"Alabama","2021-07",32.437028,-84.999653,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.96264870149254
"Alabama","2021-07",33.189931,-87.484189,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.36428571428571
"Alabama","2021-07",33.284928,-85.803608,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.65
"Alabama","2021-07",33.331111,-87.003611,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.6
"Alabama","2021-07",33.499722,-86.924167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.77333333333333
"Alabama","2021-07",33.521427,-86.844112,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",10.03
"Alabama","2021-07",33.545278,-86.549167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.89
"Alabama","2021-07",33.553056,-86.815,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",12.1107915833333
"Alabama","2021-07",33.991494,-85.992647,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",10.1333333333333
"Alabama","2021-07",34.288567,-85.969858,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",10.18
"Alabama","2021-07",34.530717,-86.967536,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",11.111910942029
"Alabama","2021-07",34.68547,-86.58816,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.24666666666667
"Alabama","2021-08",30.497478,-87.880258,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.24
"Alabama","2021-08",30.770181,-88.087761,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.91
"Alabama","2021-08",32.362606,-88.277992,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.64420682258065
"Alabama","2021-08",32.412811,-86.263394,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.84666666666667
"Alabama","2021-08",32.437028,-84.999653,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.76985493939394
"Alabama","2021-08",33.189931,-87.484189,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.50769230769231
"Alabama","2021-08",33.284928,-85.803608,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.59
"Alabama","2021-08",33.331111,-87.003611,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",11.84
"Alabama","2021-08",33.499722,-86.924167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.03846153846154
"Alabama","2021-08",33.521427,-86.844112,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",10.5555555555556
"Alabama","2021-08",33.545278,-86.549167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.6875
"Alabama","2021-08",33.553056,-86.815,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",14.3966019428571
"Alabama","2021-08",33.991494,-85.992647,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.5
"Alabama","2021-08",34.288567,-85.969858,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.38
"Alabama","2021-08",34.530717,-86.967536,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",11.7337138
"Alabama","2021-08",34.68547,-86.58816,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",10.7375
"Alabama","2021-09",30.497478,-87.880258,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.78
"Alabama","2021-09",30.770181,-88.087761,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.43
"Alabama","2021-09",32.362606,-88.277992,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",5.26260316
"Alabama","2021-09",32.412811,-86.263394,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.56428571428571
"Alabama","2021-09",32.437028,-84.999653,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.71036459375
"Alabama","2021-09",33.189931,-87.484189,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.24
"Alabama","2021-09",33.284928,-85.803608,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.5125
"Alabama","2021-09",33.331111,-87.003611,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.32
"Alabama","2021-09",33.499722,-86.924167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.38666666666667
"Alabama","2021-09",33.521427,-86.844112,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.36
"Alabama","2021-09",33.545278,-86.549167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.57
"Alabama","2021-09",33.553056,-86.815,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",13.9926815507246
"Alabama","2021-09",33.991494,-85.992647,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.77
"Alabama","2021-09",34.288567,-85.969858,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.925
"Alabama","2021-09",34.530717,-86.967536,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.17870475609756
"Alabama","2021-09",34.68547,-86.58816,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.74
"Alabama","2021-10",30.497478,-87.880258,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.44444444444444
"Alabama","2021-10",30.770181,-88.087761,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.16363636363636
"Alabama","2021-10",32.362606,-88.277992,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",4.97722582258065
"Alabama","2021-10",32.412811,-86.263394,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.98571428571429
"Alabama","2021-10",32.437028,-84.999653,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.86316893617021
"Alabama","2021-10",33.189931,-87.484189,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.76428571428571
"Alabama","2021-10",33.284928,-85.803608,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.38888888888889
"Alabama","2021-10",33.331111,-87.003611,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.52
"Alabama","2021-10",33.499722,-86.924167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.68947368421053
"Alabama","2021-10",33.521427,-86.844112,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.1
"Alabama","2021-10",33.545278,-86.549167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.49166666666667
"Alabama","2021-10",33.553056,-86.815,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",13.8340728493151
"Alabama","2021-10",33.991494,-85.992647,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",10.05
"Alabama","2021-10",34.288567,-85.969858,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.8
"Alabama","2021-10",34.530717,-86.967536,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.59303157534247
"Alabama","2021-10",34.68547,-86.58816,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.17647058823529
"Alabama","2021-11",30.497478,-87.880258,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.43
"Alabama","2021-11",30.770181,-88.087761,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.35714285714286
"Alabama","2021-11",32.362606,-88.277992,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",5.55814696296296
"Alabama","2021-11",32.412811,-86.263394,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.99
"Alabama","2021-11",32.437028,-84.999653,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.98107555384615
"Alabama","2021-11",33.189931,-87.484189,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.65833333333333
"Alabama","2021-11",33.284928,-85.803608,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.91
"Alabama","2021-11",33.331111,-87.003611,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",10.28
"Alabama","2021-11",33.499722,-86.924167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.99333333333333
"Alabama","2021-11",33.521427,-86.844112,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",10.7888888888889
"Alabama","2021-11",33.545278,-86.549167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.48
"Alabama","2021-11",33.553056,-86.815,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",11.5006822923077
"Alabama","2021-11",34.288567,-85.969858,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.68888888888889
"Alabama","2021-11",34.530717,-86.967536,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.52372923188406
"Alabama","2021-11",34.68547,-86.58816,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.91333333333333
"Alabama","2021-12",30.497478,-87.880258,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",5.86
"Alabama","2021-12",30.770181,-88.087761,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.25
"Alabama","2021-12",32.362606,-88.277992,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",5.17884619230769
"Alabama","2021-12",32.412811,-86.263394,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.34666666666667
"Alabama","2021-12",32.437028,-84.999653,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.89054209090909
"Alabama","2021-12",33.189931,-87.484189,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.54666666666667
"Alabama","2021-12",33.284928,-85.803608,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.07
"Alabama","2021-12",33.331111,-87.003611,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",4.84
"Alabama","2021-12",33.499722,-86.924167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.22
"Alabama","2021-12",33.521427,-86.844112,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",9.01111111111111
"Alabama","2021-12",33.545278,-86.549167,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",4.49
"Alabama","2021-12",33.553056,-86.815,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",12.5888695882353
"Alabama","2021-12",33.991494,-85.992647,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.92318340816327
"Alabama","2021-12",34.288567,-85.969858,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.55
"Alabama","2021-12",34.530717,-86.967536,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.82965983333333
"Alabama","2021-12",34.68547,-86.58816,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",5.42142857142857
"Alaska","2021-01",58.388497,-134.567237,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.0787985
"Alaska","2021-01",61.205861,-149.824602,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",10.3122556129032
"Alaska","2021-01",61.534163,-149.031655,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.74814564179104
"Alaska","2021-01",64.762641,-147.310279,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",41.5529411764706
"Alaska","2021-01",64.84569,-147.727413,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",20.7595238095238
"Alaska","2021-01",64.84593,-147.69327,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",30.0444444444444
"Alaska","2021-02",58.388497,-134.567237,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.41051664285714
"Alaska","2021-02",61.205861,-149.824602,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.48862401785714
"Alaska","2021-02",61.534163,-149.031655,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.68348168333333
"Alaska","2021-02",64.762641,-147.310279,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",15.1709677419355
"Alaska","2021-02",64.84569,-147.727413,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",12.8387096774194
"Alaska","2021-03",58.388497,-134.567237,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",3.45300961290323
"Alaska","2021-03",61.205861,-149.824602,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.58220862903226
"Alaska","2021-03",61.534163,-149.031655,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",5.19310096969697
"Alaska","2021-03",64.762641,-147.310279,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.36315789473684
"Alaska","2021-03",64.84569,-147.727413,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.21315789473684
"Alaska","2021-04",58.388497,-134.567237,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",4.17529838
"Alaska","2021-04",61.205861,-149.824602,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",4.73316188461538
"Alaska","2021-04",61.534163,-149.031655,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",1.85025186153846
"Alaska","2021-04",64.762641,-147.310279,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",6.86363636363636
"Alaska","2021-04",64.84569,-147.727413,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",5.6175
"Alaska","2021-04",64.84593,-147.69327,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",4
"Alaska","2021-05",58.388497,-134.567237,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",3.15395361666667
"Alaska","2021-05",61.205861,-149.824602,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",4.13674240322581
"Alaska","2021-05",61.534163,-149.031655,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",1.15184008955224
"Alaska","2021-05",64.762641,-147.310279,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",4.33414634146341
"Alaska","2021-05",64.84569,-147.727413,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",3.148
"Alaska","2021-05",64.84593,-147.69327,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",3.36111111111111
"Alaska","2021-06",58.388497,-134.567237,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",2.97062418333333
"Alaska","2021-06",61.205861,-149.824602,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",3.35276951666667
"Alaska","2021-06",61.534163,-149.031655,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",1.56367926415094
"Alaska","2021-06",64.762641,-147.310279,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",5.88611111111111
"Alaska","2021-06",64.84569,-147.727413,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",3.68108108108108
"Alaska","2021-06",64.84593,-147.69327,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",3.6
"Alaska","2021-07",58.388497,-134.567237,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",5.25134190322581
"Alaska","2021-07",61.205861,-149.824602,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",4.70816970967742
"Alaska","2021-07",61.534163,-149.031655,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",3.2114361875
"Alaska","2021-07",64.762641,-147.310279,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",12.2921052631579
"Alaska","2021-07",64.84569,-147.727413,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",7.655
"Alaska","2021-07",64.84593,-147.69327,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",8.36551724137931
"Alaska","2021-08",58.388497,-134.567237,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",4.33949641666667
"Alaska","2021-08",61.205861,-149.824602,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",3.92554841071429
"Alaska","2021-08",61.534163,-149.031655,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",2.31246551515152
"Alaska","2021-08",64.762641,-147.310279,"PM2.5 - Local Conditions","Micrograms/cubic meter (LC)",5.771875
